Start Time,Forecast MAPE (%),Backcast MAPE (%),Demand Forecast (MW),Backcast (MW),Settlement Usage (MW),Load Forecast Error,Backcast Abs Errors Gross
2024-05-29 00:00:00,19.83 %,7.87 %,998.33,961.19,"1,009.29",2.45,154.09
2024-05-30 00:00:00,13.75 %,11.59 %,"1,042.36","1,065.54","1,214.77",163.63,179.81
2024-05-31 00:00:00,13.63 %,14.25 %,"1,001.35",868.56,936.22,-78.39,204.75
2024-06-01 00:00:00,6.47 %,10.06 %,"1,087.00","1,022.30","1,095.06",-5.24,184.15
2024-06-02 00:00:00,7.34 %,9.07 %,"1,247.24","1,202.03","1,307.17",45.95,171.75
2024-06-03 00:00:00,7.16 %,6.62 %,"1,284.33","1,253.03","1,355.00",56.30,146.03
2024-06-04 00:00:00,8.49 %,4.61 %,"1,340.08","1,436.65","1,467.73",112.43,151.84
2024-06-05 00:00:00,15.71 %,5.03 %,"1,370.04","1,266.51","1,260.34",-125.42,195.41
2024-06-06 00:00:00,6.97 %,2.87 %,"1,294.15","1,297.56","1,280.07",-29.65,106.48
2024-06-07 00:00:00,11.73 %,2.72 %,"1,270.57","1,437.82","1,457.36",170.88,112.64
2024-06-08 00:00:00,6.74 %,2.09 %,"1,412.29","1,534.49","1,529.17",102.22,113.39
2024-06-09 00:00:00,5.62 %,2.45 %,"1,464.66","1,537.57","1,562.94",84.36,116.75
2024-06-10 00:00:00,6.19 %,2.53 %,"1,357.45","1,439.43","1,443.40",71.38,121.06
2024-06-11 00:00:00,11.37 %,6.32 %,"1,250.45","1,246.41","1,299.76",34.83,179.50
2024-06-12 00:00:00,6.25 %,4.43 %,"1,280.34","1,317.84","1,354.20",60.47,155.90
2024-06-13 00:00:00,5.43 %,2.24 %,"1,405.44","1,465.07","1,494.62",75.34,103.46
2024-06-14 00:00:00,5.96 %,3.16 %,"1,466.88","1,511.09","1,572.28",91.18,106.41
2024-06-15 00:00:00,3.96 %,1.67 %,"1,489.21","1,534.00","1,560.76",57.82,99.98
2024-06-16 00:00:00,3.02 %,2.36 %,"1,584.02","1,599.54","1,643.85",46.12,110.52
2024-06-17 00:00:00,8.71 %,2.59 %,"1,532.78","1,642.08","1,694.52",147.30,120.46
2024-06-18 00:00:00,6.82 %,4.06 %,"1,484.60","1,519.84","1,592.17",90.85,152.24
2024-06-19 00:00:00,8.49 %,7.64 %,"1,387.38","1,398.98","1,471.52",68.94,212.21
2024-06-20 00:00:00,3.00 %,2.71 %,"1,525.95","1,523.70","1,502.55",-39.81,139.98
2024-06-21 00:00:00,2.76 %,2.31 %,"1,525.82","1,542.64","1,578.01",35.71,124.48
